Order ID,Order Date,CustomerName,State,City,Year,Month,Month Name,Quarter
B-25650,2018-05-06,Chirag,Maharashtra,Mumbai,2018,5,May,2018Q2
B-25651,2018-05-07,Anurag,Madhya Pradesh,Indore,2018,5,May,2018Q2
B-25652,2018-05-08,Tushina,Goa,Goa,2018,5,May,2018Q2
B-25653,2018-05-08,Farah,Nagaland,Kohima,2018,5,May,2018Q2
B-25654,2018-05-10,Sabah,Maharashtra,Mumbai,2018,5,May,2018Q2
B-25655,2018-05-11,Nida,Madhya Pradesh,Indore,2018,5,May,2018Q2
B-25656,2018-05-11,Priyanka,Maharashtra,Pune,2018,5,May,2018Q2
B-25657,2018-05-13,Tulika,Madhya Pradesh,Bhopal,2018,5,May,2018Q2
B-25658,2018-05-14,Shefali,Rajasthan,Jaipur,2018,5,May,2018Q2
B-25659,2018-05-15,Sanskriti,West Bengal,Kolkata,2018,5,May,2018Q2
B-25660,2018-05-16,Shruti,Karnataka,Bangalore,2018,5,May,2018Q2
B-25661,2018-05-17,Subhashree,Jammu and Kashmir,Kashmir,2018,5,May,2018Q2
B-25662,2018-05-17,Sweta,Maharashtra,Mumbai,2018,5,May,2018Q2
B-25663,2018-05-19,Pournamasi,Madhya Pradesh,Indore,2018,5,May,2018Q2
B-25664,2018-05-20,Pratyusmita,Bihar,Patna,2018,5,May,2018Q2
B-25665,2018-05-21,Chayanika,Kerala ,Thiruvananthapuram,2018,5,May,2018Q2
B-25666,2018-05-22,Tanvi,Punjab,Chandigarh,2018,5,May,2018Q2
B-25667,2018-05-23,Anjali,Haryana,Chandigarh,2018,5,May,2018Q2
B-25668,2018-05-24,Rhea,Himachal Pradesh,Simla,2018,5,May,2018Q2
B-25669,2018-05-25,Piyali,Sikkim,Gangtok,2018,5,May,2018Q2
B-25670,2018-05-25,Charika,Goa,Goa,2018,5,May,2018Q2
B-25671,2018-05-27,Mitali,Nagaland,Kohima,2018,5,May,2018Q2
B-25672,2018-05-28,Akanksha,Andhra Pradesh,Hyderabad,2018,5,May,2018Q2
B-25673,2018-05-28,Arsheen,Gujarat,Ahmedabad,2018,5,May,2018Q2
B-25674,2018-05-28,Mahima,Maharashtra,Pune,2018,5,May,2018Q2
B-25675,2018-05-31,Shreya,Madhya Pradesh,Bhopal,2018,5,May,2018Q2
B-25676,2018-06-01,Chandni,Rajasthan,Jaipur,2018,6,June,2018Q2
B-25677,2018-06-02,Ekta,West Bengal,Kolkata,2018,6,June,2018Q2
B-25678,2018-06-03,Bathina,Karnataka,Bangalore,2018,6,June,2018Q2
B-25679,2018-06-04,Avni,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25680,2018-06-04,Aayushi,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25681,2018-06-04,Bhawna,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25682,2018-06-07,Krutika,Bihar,Patna,2018,6,June,2018Q2
B-25683,2018-06-08,Shreya,Kerala ,Thiruvananthapuram,2018,6,June,2018Q2
B-25684,2018-06-09,Samiksha,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25685,2018-06-10,Sheetal,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25686,2018-06-11,Pooja,Himachal Pradesh,Simla,2018,6,June,2018Q2
B-25687,2018-06-11,Sanjna,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25688,2018-06-11,Swetha,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25689,2018-06-14,Bhaggyasree,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25690,2018-06-15,Gunjan,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25691,2018-06-16,Akancha,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25692,2018-06-17,Rashmi,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25693,2018-06-18,Parna,Madhya Pradesh,Bhopal,2018,6,June,2018Q2
B-25694,2018-06-18,Subhasmita,Rajasthan,Jaipur,2018,6,June,2018Q2
B-25695,2018-06-18,Suhani,West Bengal,Kolkata,2018,6,June,2018Q2
B-25696,2018-06-21,Noopur,Karnataka,Bangalore,2018,6,June,2018Q2
B-25697,2018-06-22,Vijay,Jammu and Kashmir,Kashmir,2018,6,June,2018Q2
B-25698,2018-06-23,Amisha,Tamil Nadu,Chennai,2018,6,June,2018Q2
B-25699,2018-06-24,Kritika,Uttar Pradesh,Lucknow,2018,6,June,2018Q2
B-25700,2018-06-25,Shubhi,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25701,2018-06-26,Maithilee,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25702,2018-06-27,Shaily,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25703,2018-06-28,Ekta,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25704,2018-06-29,Riya,Maharashtra,Mumbai,2018,6,June,2018Q2
B-25705,2018-06-30,Shweta,Madhya Pradesh,Indore,2018,6,June,2018Q2
B-25706,2018-07-01,Swetlana,Goa,Goa,2018,7,July,2018Q3
B-25707,2018-07-01,Shivani,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25708,2018-07-01,Kishwar,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25709,2018-07-01,Aakanksha,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25710,2018-07-05,Megha,Maharashtra,Pune,2018,7,July,2018Q3
B-25711,2018-07-06,Sakshi,Madhya Pradesh,Bhopal,2018,7,July,2018Q3
B-25712,2018-07-07,Adhvaita,Rajasthan,Jaipur,2018,7,July,2018Q3
B-25713,2018-07-08,Raksha,West Bengal,Kolkata,2018,7,July,2018Q3
B-25714,2018-07-09,Stuti,Karnataka,Bangalore,2018,7,July,2018Q3
B-25715,2018-07-10,Srishti,Jammu and Kashmir,Kashmir,2018,7,July,2018Q3
B-25716,2018-07-11,Surabhi,Tamil Nadu,Chennai,2018,7,July,2018Q3
B-25717,2018-07-12,Manshul,Uttar Pradesh,Lucknow,2018,7,July,2018Q3
B-25718,2018-07-12,Anjali,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25719,2018-07-12,Rashmi,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25720,2018-07-15,Namrata,Punjab,Chandigarh,2018,7,July,2018Q3
B-25721,2018-07-16,Anchal,Haryana,Chandigarh,2018,7,July,2018Q3
B-25722,2018-07-17,Inderpreet,Himachal Pradesh,Simla,2018,7,July,2018Q3
B-25723,2018-07-18,Wale,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25724,2018-07-19,Sheetal,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25725,2018-07-20,Anisha,Nagaland,Kohima,2018,7,July,2018Q3
B-25726,2018-07-21,Kiran,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25727,2018-07-22,Turumella,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25728,2018-07-22,Ameesha,Maharashtra,Pune,2018,7,July,2018Q3
B-25729,2018-07-22,Madhulika,Madhya Pradesh,Bhopal,2018,7,July,2018Q3
B-25730,2018-07-22,Rishabh,Rajasthan,Jaipur,2018,7,July,2018Q3
B-25731,2018-07-26,Akash,West Bengal,Kolkata,2018,7,July,2018Q3
B-25732,2018-07-27,Anubhaw,Karnataka,Bangalore,2018,7,July,2018Q3
B-25733,2018-07-28,Dhirajendu,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25734,2018-07-29,Pranav,Madhya Pradesh,Indore,2018,7,July,2018Q3
B-25735,2018-07-30,Arindam,Uttar Pradesh,Lucknow,2018,7,July,2018Q3
B-25736,2018-07-31,Akshat,Maharashtra,Mumbai,2018,7,July,2018Q3
B-25737,2018-08-01,Shubham,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25738,2018-08-02,Ayush,Punjab,Chandigarh,2018,8,August,2018Q3
B-25739,2018-08-03,Daksh,Haryana,Chandigarh,2018,8,August,2018Q3
B-25740,2018-08-03,Rane,Maharashtra,Mumbai,2018,8,August,2018Q3
B-25741,2018-08-03,Navdeep,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25742,2018-08-03,Ashwin,Goa,Goa,2018,8,August,2018Q3
B-25743,2018-08-07,Aman,Nagaland,Kohima,2018,8,August,2018Q3
B-25744,2018-08-08,Devendra,Andhra Pradesh,Hyderabad,2018,8,August,2018Q3
B-25745,2018-08-09,Kartik,Gujarat,Ahmedabad,2018,8,August,2018Q3
B-25746,2018-08-10,Shivam,Maharashtra,Pune,2018,8,August,2018Q3
B-25747,2018-08-11,Harsh,Madhya Pradesh,Bhopal,2018,8,August,2018Q3
B-25748,2018-08-12,Nitant,Rajasthan,Jaipur,2018,8,August,2018Q3
B-25749,2018-08-13,Ayush,Maharashtra,Mumbai,2018,8,August,2018Q3
B-25750,2018-08-14,Priyanshu,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25751,2018-08-14,Nishant,Maharashtra,Mumbai,2018,8,August,2018Q3
B-25752,2018-08-14,Vaibhav,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25753,2018-08-17,Shivam,Uttar Pradesh,Lucknow,2018,8,August,2018Q3
B-25754,2018-08-18,Akshay,Bihar,Patna,2018,8,August,2018Q3
B-25755,2018-08-19,Shourya,Kerala ,Thiruvananthapuram,2018,8,August,2018Q3
B-25756,2018-08-20,Mohan,Maharashtra,Mumbai,2018,8,August,2018Q3
B-25757,2018-08-21,Mohit,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25758,2018-08-22,Shubham,Himachal Pradesh,Simla,2018,8,August,2018Q3
B-25759,2018-08-23,Soumya,Sikkim,Gangtok,2018,8,August,2018Q3
B-25760,2018-08-24,Pooja,Goa,Goa,2018,8,August,2018Q3
B-25761,2018-08-25,Surabhi,Maharashtra,Mumbai,2018,8,August,2018Q3
B-25762,2018-08-26,Anudeep,Madhya Pradesh,Indore,2018,8,August,2018Q3
B-25763,2018-08-27,Noshiba,Gujarat,Ahmedabad,2018,8,August,2018Q3
B-25764,2018-08-28,Sanjova,Maharashtra,Pune,2018,8,August,2018Q3
B-25765,2018-08-29,Meghana,Madhya Pradesh,Bhopal,2018,8,August,2018Q3
B-25766,2018-08-30,Surabhi,Rajasthan,Jaipur,2018,8,August,2018Q3
B-25767,2018-08-31,Ashmeet,West Bengal,Kolkata,2018,8,August,2018Q3
B-25768,2018-09-01,Shreyoshe,Karnataka,Bangalore,2018,9,September,2018Q3
B-25769,2018-09-02,Surbhi,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25770,2018-09-02,Sakshi,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25771,2018-09-02,Vaibhavi,Uttar Pradesh,Lucknow,2018,9,September,2018Q3
B-25772,2018-09-02,Sanjana,Bihar,Patna,2018,9,September,2018Q3
B-25773,2018-09-06,Shreya,Kerala ,Thiruvananthapuram,2018,9,September,2018Q3
B-25774,2018-09-07,Snehal,Punjab,Chandigarh,2018,9,September,2018Q3
B-25775,2018-09-08,Duhita,Haryana,Chandigarh,2018,9,September,2018Q3
B-25776,2018-09-09,Mousam,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25777,2018-09-10,Aditi,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25778,2018-09-11,Surabhi,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25779,2018-09-12,Savi,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25780,2018-09-13,Teena,Andhra Pradesh,Hyderabad,2018,9,September,2018Q3
B-25781,2018-09-14,Rutuja,Gujarat,Ahmedabad,2018,9,September,2018Q3
B-25782,2018-09-15,Aayushi,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25783,2018-09-15,Shivangi,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25784,2018-09-15,Rohit,Rajasthan,Jaipur,2018,9,September,2018Q3
B-25785,2018-09-15,Ayush,West Bengal,Kolkata,2018,9,September,2018Q3
B-25786,2018-09-19,Abhishek,Karnataka,Bangalore,2018,9,September,2018Q3
B-25787,2018-09-20,Asish,Jammu and Kashmir,Kashmir,2018,9,September,2018Q3
B-25788,2018-09-21,Dinesh,Tamil Nadu,Chennai,2018,9,September,2018Q3
B-25789,2018-09-22,Akshay,Uttar Pradesh,Lucknow,2018,9,September,2018Q3
B-25790,2018-09-23,Sajal,Bihar,Patna,2018,9,September,2018Q3
B-25791,2018-09-24,Avish,Kerala ,Thiruvananthapuram,2018,9,September,2018Q3
B-25792,2018-09-24,Abhishek,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25793,2018-09-24,Siddharth,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25794,2018-09-24,Aditya,Himachal Pradesh,Simla,2018,9,September,2018Q3
B-25795,2018-09-24,Sukant,Sikkim,Gangtok,2018,9,September,2018Q3
B-25796,2018-09-24,Sukrith,Maharashtra,Mumbai,2018,9,September,2018Q3
B-25797,2018-09-30,Sauptik,Madhya Pradesh,Indore,2018,9,September,2018Q3
B-25798,2018-10-01,Shishu,Andhra Pradesh,Hyderabad,2018,10,October,2018Q4
B-25799,2018-10-01,Divyansh,Gujarat,Ahmedabad,2018,10,October,2018Q4
B-25800,2018-10-01,Ishit,Maharashtra,Pune,2018,10,October,2018Q4
B-25801,2018-10-01,Aryan,Madhya Pradesh,Bhopal,2018,10,October,2018Q4
B-25802,2018-10-05,Yash,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25803,2018-10-05,Shivanshu,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25804,2018-10-05,Sudheer,Karnataka,Bangalore,2018,10,October,2018Q4
B-25805,2018-10-05,Ankit,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25806,2018-10-06,Dhanraj,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25807,2018-10-07,Vipul,Uttar Pradesh,Lucknow,2018,10,October,2018Q4
B-25808,2018-10-08,Apsingekar,Bihar,Patna,2018,10,October,2018Q4
B-25809,2018-10-09,Suman,Kerala ,Thiruvananthapuram,2018,10,October,2018Q4
B-25810,2018-10-10,Nripraj,Punjab,Chandigarh,2018,10,October,2018Q4
B-25811,2018-10-10,Utsav,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25812,2018-10-10,Kshitij,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25813,2018-10-10,Hrisheekesh,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25814,2018-10-10,Swapnil,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25815,2018-10-10,Harsh,Nagaland,Kohima,2018,10,October,2018Q4
B-25816,2018-10-12,Mane,Andhra Pradesh,Hyderabad,2018,10,October,2018Q4
B-25817,2018-10-13,Praneet,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25818,2018-10-14,Sandeep,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25819,2018-10-15,Ankur,Madhya Pradesh,Bhopal,2018,10,October,2018Q4
B-25820,2018-10-16,Dheeraj,Rajasthan,Jaipur,2018,10,October,2018Q4
B-25821,2018-10-16,Ajay,West Bengal,Kolkata,2018,10,October,2018Q4
B-25822,2018-10-18,Tejas,Karnataka,Bangalore,2018,10,October,2018Q4
B-25823,2018-10-18,Rohan,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25824,2018-10-20,Shyam,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25825,2018-10-21,Kartik,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25826,2018-10-22,Tanushree,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25827,2018-10-23,Sheetal,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25828,2018-10-24,Nikita,Punjab,Chandigarh,2018,10,October,2018Q4
B-25829,2018-10-25,Apoorva,Haryana,Chandigarh,2018,10,October,2018Q4
B-25830,2018-10-26,Aastha,Himachal Pradesh,Simla,2018,10,October,2018Q4
B-25831,2018-10-27,Mahima,Sikkim,Gangtok,2018,10,October,2018Q4
B-25832,2018-10-28,Harshita,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25833,2018-10-29,Krishna,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25834,2018-10-29,Ananya,Andhra Pradesh,Hyderabad,2018,10,October,2018Q4
B-25835,2018-10-29,Moumita,Gujarat,Ahmedabad,2018,10,October,2018Q4
B-25836,2018-10-29,Arti,Maharashtra,Pune,2018,10,October,2018Q4
B-25837,2018-10-29,Palak,Maharashtra,Mumbai,2018,10,October,2018Q4
B-25838,2018-10-29,Sanjana,Madhya Pradesh,Indore,2018,10,October,2018Q4
B-25839,2018-10-30,Pranjali,West Bengal,Kolkata,2018,10,October,2018Q4
B-25840,2018-10-31,Sneha,Karnataka,Bangalore,2018,10,October,2018Q4
B-25841,2018-11-01,Ashvini,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25842,2018-11-02,Sheetal,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25843,2018-11-03,Mrunal,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25844,2018-11-03,Swati,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25845,2018-11-03,Snel,Kerala ,Thiruvananthapuram,2018,11,November,2018Q4
B-25846,2018-11-03,Soodesh,Punjab,Chandigarh,2018,11,November,2018Q4
B-25847,2018-11-03,Aniket,Haryana,Chandigarh,2018,11,November,2018Q4
B-25848,2018-11-03,Rohan,Himachal Pradesh,Simla,2018,11,November,2018Q4
B-25849,2018-11-04,K,Sikkim,Gangtok,2018,11,November,2018Q4
B-25850,2018-11-05,Abhishek,Goa,Goa,2018,11,November,2018Q4
B-25851,2018-11-06,Kushal,Nagaland,Kohima,2018,11,November,2018Q4
B-25852,2018-11-07,Soumyabrata,Andhra Pradesh,Hyderabad,2018,11,November,2018Q4
B-25853,2018-11-08,Gaurav,Gujarat,Ahmedabad,2018,11,November,2018Q4
B-25854,2018-11-08,Shubham,Maharashtra,Pune,2018,11,November,2018Q4
B-25855,2018-11-08,Abhijeet,Madhya Pradesh,Bhopal,2018,11,November,2018Q4
B-25856,2018-11-10,Abhijeet,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25857,2018-11-10,Anand,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25858,2018-11-13,Swapnil,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25859,2018-11-14,Chikku,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25860,2018-11-15,Akshay,Tamil Nadu,Chennai,2018,11,November,2018Q4
B-25861,2018-11-15,Aayush,Uttar Pradesh,Lucknow,2018,11,November,2018Q4
B-25862,2018-11-15,Amol,Bihar,Patna,2018,11,November,2018Q4
B-25863,2018-11-15,Manibalan,Kerala ,Thiruvananthapuram,2018,11,November,2018Q4
B-25864,2018-11-15,Aromal,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25865,2018-11-15,Arun,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25866,2018-11-16,Komal,Himachal Pradesh,Simla,2018,11,November,2018Q4
B-25867,2018-11-17,Ankit,Sikkim,Gangtok,2018,11,November,2018Q4
B-25868,2018-11-18,Vikash,Goa,Goa,2018,11,November,2018Q4
B-25869,2018-11-19,Parakh,Nagaland,Kohima,2018,11,November,2018Q4
B-25870,2018-11-20,Pranav,Andhra Pradesh,Hyderabad,2018,11,November,2018Q4
B-25871,2018-11-21,Gunjal,Gujarat,Surat,2018,11,November,2018Q4
B-25872,2018-11-22,Saurabh,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25873,2018-11-23,Divyeta,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25874,2018-11-24,Megha,Rajasthan,Udaipur,2018,11,November,2018Q4
B-25875,2018-11-24,Divyeshkumar,Uttar Pradesh,Allahabad,2018,11,November,2018Q4
B-25876,2018-11-24,Bhosale,Punjab,Amritsar,2018,11,November,2018Q4
B-25877,2018-11-24,Dashyam,Gujarat,Surat,2018,11,November,2018Q4
B-25878,2018-11-24,Mrinal,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25879,2018-11-24,Siddharth,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25880,2018-11-24,Apoorv,Rajasthan,Udaipur,2018,11,November,2018Q4
B-25881,2018-11-25,Pooja,Uttar Pradesh,Allahabad,2018,11,November,2018Q4
B-25882,2018-11-26,Masurkar,Punjab,Amritsar,2018,11,November,2018Q4
B-25883,2018-11-27,Saptadeep,Gujarat,Surat,2018,11,November,2018Q4
B-25884,2018-11-28,Sumeet,Maharashtra,Mumbai,2018,11,November,2018Q4
B-25885,2018-11-28,Shatayu,Madhya Pradesh,Indore,2018,11,November,2018Q4
B-25886,2018-11-28,Brijesh,Rajasthan,Udaipur,2018,11,November,2018Q4
B-25887,2018-12-01,Vedant,Uttar Pradesh,Allahabad,2018,12,December,2018Q4
B-25888,2018-12-02,Rohan,Punjab,Amritsar,2018,12,December,2018Q4
B-25889,2018-12-03,Abhishek,Gujarat,Surat,2018,12,December,2018Q4
B-25890,2018-12-04,Divyansha,Maharashtra,Mumbai,2018,12,December,2018Q4
B-25891,2018-12-04,Shivani,Madhya Pradesh,Indore,2018,12,December,2018Q4
B-25892,2018-12-04,Aditi,Rajasthan,Udaipur,2018,12,December,2018Q4
B-25893,2018-12-04,Aashna,Uttar Pradesh,Allahabad,2018,12,December,2018Q4
B-25894,2018-12-04,Monu,Punjab,Amritsar,2018,12,December,2018Q4
B-25895,2018-12-04,Sathya,Gujarat,Surat,2018,12,December,2018Q4
B-25896,2018-12-05,Aman,Maharashtra,Mumbai,2018,12,December,2018Q4
B-25897,2018-12-06,Rohan,Madhya Pradesh,Indore,2018,12,December,2018Q4
B-25898,2018-12-07,Abhishek,Rajasthan,Udaipur,2018,12,December,2018Q4
B-25899,2018-12-08,Aishwarya,Uttar Pradesh,Allahabad,2018,12,December,2018Q4
B-25900,2018-12-09,Anand,Punjab,Amritsar,2018,12,December,2018Q4
B-25901,2018-12-10,Suraj,Gujarat,Surat,2018,12,December,2018Q4
B-25902,2018-12-10,Ishpreet,Maharashtra,Mumbai,2018,12,December,2018Q4
B-25903,2018-12-10,Amlan,Madhya Pradesh,Indore,2018,12,December,2018Q4
B-25904,2018-12-10,Swapnil,Delhi,Delhi,2018,12,December,2018Q4
B-25905,2018-12-11,Bhargav,Madhya Pradesh,Delhi,2018,12,December,2018Q4
B-25906,2018-12-11,Abhijit,Delhi,Delhi,2018,12,December,2018Q4
B-25907,2018-12-11,Jaydeep,Madhya Pradesh,Bhopal,2018,12,December,2018Q4
B-25908,2018-12-12,Pradeep,Delhi,Delhi,2018,12,December,2018Q4
B-25909,2018-12-13,Sujay,Madhya Pradesh,Delhi,2018,12,December,2018Q4
B-25910,2018-12-14,Jay,Delhi,Delhi,2018,12,December,2018Q4
B-25911,2018-12-15,Phalguni,Madhya Pradesh,Bhopal,2018,12,December,2018Q4
B-25912,2018-12-16,Preksha,Delhi,Delhi,2018,12,December,2018Q4
B-25913,2018-12-17,Geetanjali,Madhya Pradesh,Delhi,2018,12,December,2018Q4
B-25914,2018-12-18,Kajal,Delhi,Delhi,2018,12,December,2018Q4
B-25915,2018-12-19,Sukruta,Punjab,Amritsar,2018,12,December,2018Q4
B-25916,2018-12-20,Utkarsh,Gujarat,Surat,2018,12,December,2018Q4
B-25917,2018-12-21,Sanjay,Maharashtra,Mumbai,2018,12,December,2018Q4
B-25918,2018-12-22,Karandeep,Madhya Pradesh,Indore,2018,12,December,2018Q4
B-25919,2018-12-23,Neha,Rajasthan,Udaipur,2018,12,December,2018Q4
